source,month,bucket,fills,rs30_bps
binance:QQQUSDT,2026-05,0-2 bps,322171,-0.1174
binance:QQQUSDT,2026-05,2-5 bps,12518,1.5969
binance:QQQUSDT,2026-05,5-10 bps,2365,4.0939
binance:QQQUSDT,2026-05,10+ bps,609,7.3496
binance:QQQUSDT,2026-06,touch,1906246,-0.5861
binance:QQQUSDT,2026-06,0-2 bps,578324,-0.2205
binance:QQQUSDT,2026-06,2-5 bps,24528,1.7783
binance:QQQUSDT,2026-06,5-10 bps,6800,4.5212
binance:QQQUSDT,2026-06,10+ bps,2713,14.9568
binance:QQQUSDT,2026-07,touch,2120194,-0.572
binance:QQQUSDT,2026-07,0-2 bps,400531,-0.3566
binance:QQQUSDT,2026-07,2-5 bps,7322,1.8339
binance:QQQUSDT,2026-07,5-10 bps,1128,4.8402
binance:QQQUSDT,2026-07,10+ bps,31,-11.2314
binance:QQQUSDT,2026-08,touch,1556426,-0.5357
binance:QQQUSDT,2026-08,0-2 bps,198320,-0.6178
binance:QQQUSDT,2026-08,2-5 bps,4425,0.7785
binance:QQQUSDT,2026-08,5-10 bps,417,6.8474
binance:QQQUSDT,2026-08,10+ bps,65,9.6316
binance:QQQUSDT,POOLED,touch,6729949,-0.5713
binance:QQQUSDT,POOLED,0-2 bps,1618740,-0.3345
binance:QQQUSDT,POOLED,2-5 bps,61412,1.665
binance:QQQUSDT,POOLED,5-10 bps,14103,4.5789
binance:QQQUSDT,POOLED,10+ bps,4833,12.8214
binance:XAUUSDT,2025-12,touch,114265,1.0801
binance:XAUUSDT,2025-12,0-2 bps,16638,1.8801
binance:XAUUSDT,2025-12,2-5 bps,7458,3.4705
binance:XAUUSDT,2025-12,5-10 bps,4413,6.0313
binance:XAUUSDT,2025-12,10+ bps,3730,19.5391
binance:XAUUSDT,2026-01,touch,2807546,-0.7273
binance:XAUUSDT,2026-01,0-2 bps,1539418,-0.3398
binance:XAUUSDT,2026-01,2-5 bps,106546,1.5314
binance:XAUUSDT,2026-01,5-10 bps,21708,4.7332
binance:XAUUSDT,2026-01,10+ bps,5833,14.0065
binance:XAUUSDT,2026-02,touch,6177747,-0.5737
binance:XAUUSDT,2026-02,0-2 bps,4727829,-0.5556
binance:XAUUSDT,2026-02,2-5 bps,161791,0.8402
binance:XAUUSDT,2026-02,5-10 bps,33023,3.0078
binance:XAUUSDT,2026-02,10+ bps,8488,27.3599
binance:XAUUSDT,2026-03,touch,8645366,-0.5308
binance:XAUUSDT,2026-03,0-2 bps,5956080,-0.5612
binance:XAUUSDT,2026-03,2-5 bps,166179,0.9992
binance:XAUUSDT,2026-03,5-10 bps,28107,4.1267
binance:XAUUSDT,2026-03,10+ bps,5355,12.7674
binance:XAUUSDT,2026-04,touch,4668529,-0.4885
binance:XAUUSDT,2026-04,0-2 bps,2552340,-0.4651
binance:XAUUSDT,2026-04,2-5 bps,45312,1.3078
binance:XAUUSDT,2026-04,5-10 bps,7301,5.2569
binance:XAUUSDT,2026-04,10+ bps,1061,15.534
binance:XAUUSDT,2026-05,touch,4087316,-0.5326
binance:XAUUSDT,2026-05,0-2 bps,2066988,-0.6245
binance:XAUUSDT,2026-05,2-5 bps,17867,0.4246
binance:XAUUSDT,2026-05,5-10 bps,1196,0.7085
binance:XAUUSDT,2026-05,10+ bps,53,-3.1283
binance:XAUUSDT,2026-06,touch,5378157,-0.5656
binance:XAUUSDT,2026-06,0-2 bps,3522720,-0.4661
binance:XAUUSDT,2026-06,2-5 bps,28509,1.1305
binance:XAUUSDT,2026-06,5-10 bps,3527,1.2598
binance:XAUUSDT,2026-06,10+ bps,126,11.8288
binance:XAUUSDT,2026-07,touch,5857100,-0.5028
binance:XAUUSDT,2026-07,0-2 bps,3838174,-0.5491
binance:XAUUSDT,2026-07,2-5 bps,25518,0.384
binance:XAUUSDT,2026-07,5-10 bps,2878,-8.9488
binance:XAUUSDT,2026-07,10+ bps,661,-7.1595
binance:XAUUSDT,2026-08,touch,6154173,-0.474
binance:XAUUSDT,2026-08,0-2 bps,5000561,-0.3972
binance:XAUUSDT,2026-08,2-5 bps,42461,2.732
binance:XAUUSDT,2026-08,5-10 bps,6070,12.2124
binance:XAUUSDT,2026-08,10+ bps,909,26.8056
binance:XAUUSDT,POOLED,touch,43890199,-0.5257
binance:XAUUSDT,POOLED,0-2 bps,29220748,-0.5063
binance:XAUUSDT,POOLED,2-5 bps,601641,1.1871
binance:XAUUSDT,POOLED,5-10 bps,108223,3.992
binance:XAUUSDT,POOLED,10+ bps,26216,18.1924
binance:PAXGUSDT,2023-09,touch,62193,0.8453
binance:PAXGUSDT,2023-09,5-10 bps,1064,2.3637
binance:PAXGUSDT,2023-09,10+ bps,433,7.8122
binance:PAXGUSDT,2023-10,touch,129764,1.1047
binance:PAXGUSDT,2023-10,5-10 bps,5275,3.7037
binance:PAXGUSDT,2023-10,10+ bps,1774,9.1137
binance:PAXGUSDT,2023-11,touch,131713,0.822
binance:PAXGUSDT,2023-11,2-5 bps,330,1.7001
binance:PAXGUSDT,2023-11,5-10 bps,5890,3.1486
binance:PAXGUSDT,2023-11,10+ bps,2002,12.6721
binance:PAXGUSDT,2023-12,touch,169849,0.7518
binance:PAXGUSDT,2023-12,2-5 bps,6113,2.7777
binance:PAXGUSDT,2023-12,5-10 bps,3394,3.3166
binance:PAXGUSDT,2023-12,10+ bps,1122,11.0577
binance:PAXGUSDT,2024-01,touch,130978,1.082
binance:PAXGUSDT,2024-01,2-5 bps,7280,2.7731
binance:PAXGUSDT,2024-01,5-10 bps,1699,3.6234
binance:PAXGUSDT,2024-01,10+ bps,1154,11.0945
binance:PAXGUSDT,2024-02,touch,119781,0.9296
binance:PAXGUSDT,2024-02,2-5 bps,3654,2.4494
binance:PAXGUSDT,2024-02,5-10 bps,2633,3.6647
binance:PAXGUSDT,2024-02,10+ bps,1350,13.2992
binance:PAXGUSDT,2024-03,touch,224926,-0.239
binance:PAXGUSDT,2024-03,2-5 bps,14699,2.1981
binance:PAXGUSDT,2024-03,5-10 bps,3035,3.3202
binance:PAXGUSDT,2024-03,10+ bps,2897,10.6513
binance:PAXGUSDT,2024-04,touch,343347,-2.5024
binance:PAXGUSDT,2024-04,2-5 bps,42612,0.8616
binance:PAXGUSDT,2024-04,5-10 bps,15340,-0.107
binance:PAXGUSDT,2024-04,10+ bps,30424,9.7017
binance:PAXGUSDT,2024-05,touch,183497,-0.2938
binance:PAXGUSDT,2024-05,2-5 bps,13601,1.8969
binance:PAXGUSDT,2024-05,5-10 bps,2950,4.273
binance:PAXGUSDT,2024-05,10+ bps,2650,12.8239
binance:PAXGUSDT,2024-06,touch,193850,0.2053
binance:PAXGUSDT,2024-06,2-5 bps,10344,2.5879
binance:PAXGUSDT,2024-06,5-10 bps,1861,3.7719
binance:PAXGUSDT,2024-06,10+ bps,1352,13.2005
binance:PAXGUSDT,2024-07,touch,191314,0.1804
binance:PAXGUSDT,2024-07,2-5 bps,9918,2.5141
binance:PAXGUSDT,2024-07,5-10 bps,2008,6.6521
binance:PAXGUSDT,2024-07,10+ bps,2159,17.806
binance:PAXGUSDT,2024-08,touch,262270,0.3212
binance:PAXGUSDT,2024-08,2-5 bps,16133,2.4409
binance:PAXGUSDT,2024-08,5-10 bps,3719,4.2735
binance:PAXGUSDT,2024-08,10+ bps,3728,22.0016
binance:PAXGUSDT,2024-09,touch,232410,0.5599
binance:PAXGUSDT,2024-09,2-5 bps,7739,1.819
binance:PAXGUSDT,2024-09,5-10 bps,1521,3.0177
binance:PAXGUSDT,2024-09,10+ bps,1450,13.0888
